
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    [::]:7680              [::]:0                 LISTENING       3100
  TCP    [::]:49154             [::]:0                 LISTENING       3332
  TCP    [::]:49664             [::]:0                 LISTENING       2020
  TCP    [::]:49665             [::]:0                 LISTENING       1840
  TCP    [::]:49666             [::]:0                 LISTENING       3796
  TCP    [::]:49667             [::]:0                 LISTENING       4140
  TCP    [::]:49668             [::]:0                 LISTENING       5388
  TCP    [::]:49670             [::]:0                 LISTENING       1988
  TCP    [::]:55883             [::]:0                 LISTENING       16852
  TCP    [::1]:5432             [::]:0                 LISTENING       12236
  TCP    [::1]:5432             [::1]:50270            ESTABLISHED     12236
  TCP    [::1]:5432             [::1]:56799            ESTABLISHED     12236
  TCP    [::1]:5432             [::1]:61857            ESTABLISHED     12236
  TCP    [::1]:5432             [::1]:64256            ESTABLISHED     12236
  TCP    [::1]:42050            [::]:0                 LISTENING       32612
  TCP    [::1]:50270            [::1]:5432             ESTABLISHED     9652
  TCP    [::1]:56799            [::1]:5432             ESTABLISHED     25440
  TCP    [::1]:61857            [::1]:5432             ESTABLISHED     10500
  TCP    [::1]:64256            [::1]:5432             ESTABLISHED     18100
  TCP    [fe80::86ff:6ad8:1920:53c0%54]:6881  [::]:0                 LISTENING       11648
  TCP    [fe80::e9c4:9a57:f3bd:cbb1%11]:6881  [::]:0                 LISTENING       11648
  UDP    0.0.0.0:53             *:*                                    5320
  UDP    0.0.0.0:123            *:*                                    4824
  UDP    0.0.0.0:3702           *:*                                    14020
  UDP    0.0.0.0:3702           *:*                                    14020
  UDP    0.0.0.0:5050           *:*                                    9912
  UDP    0.0.0.0:5353           *:*                                    20156
  UDP    0.0.0.0:5353           *:*                                    2712
  UDP    0.0.0.0:5353           *:*                                    20156
  UDP    0.0.0.0:5353           *:*                                    20156
  UDP    0.0.0.0:5353           *:*                                    20156
  UDP    0.0.0.0:5355           *:*                                    2712
  UDP    0.0.0.0:6771           *:*                                    11648
  UDP    0.0.0.0:6771           *:*                                    11648
  UDP    0.0.0.0:6881           *:*                                    11648
  UDP    0.0.0.0:50074          *:*                                    23044
  UDP    0.0.0.0:54413          *:*                                    11648
  UDP    0.0.0.0:54415          *:*                                    11648
  UDP    0.0.0.0:62960          *:*                                    5320
  UDP    0.0.0.0:62961          *:*                                    5320
  UDP    0.0.0.0:63879          *:*                                    14020
  UDP    0.0.0.0:65112          *:*                                    2712
